Documents,Total Words (m),Frequency (f)
Article1.txt,100,5
Article10.txt,62,2
Article100.txt,91,1
Article103.txt,91,2
Article107.txt,90,1
Article11.txt,93,3
Article110.txt,94,4
Article117.txt,53,2
Article12.txt,75,2
Article132.txt,93,2
Article14.txt,89,2
Article141.txt,102,1
Article142.txt,89,6
Article143.txt,95,4
Article144.txt,94,2
Article145.txt,93,1
Article146.txt,87,6
Article147.txt,92,5
Article148.txt,97,1
Article149.txt,102,2
Article15.txt,96,2
Article150.txt,101,7
Article152.txt,98,6
Article153.txt,82,4
Article154.txt,99,6
Article155.txt,94,3
Article156.txt,90,3
Article157.txt,85,5
Article158.txt,93,4
Article159.txt,99,6
Article16.txt,89,2
Article17.txt,91,2
Article18.txt,98,7
Article182.txt,89,3
Article19.txt,61,2
Article195.txt,83,2
Article198.txt,94,1
Article2.txt,87,2
Article205.txt,75,3
Article215.txt,72,3
Article217.txt,91,2
Article218.txt,104,1
Article226.txt,120,3
Article232.txt,90,2
Article233.txt,101,1
Article235.txt,109,1
Article240.txt,65,1
Article243.txt,82,1
Article244.txt,74,1
Article247.txt,76,1
Article251.txt,72,4
Article256.txt,88,2
Article261.txt,49,1
Article264.txt,88,3
Article265.txt,90,1
Article269.txt,53,3
Article271.txt,90,1
Article274.txt,91,3
Article278.txt,100,2
Article283.txt,92,3
Article284.txt,45,3
Article285.txt,89,3
Article286.txt,104,5
Article287.txt,96,3
Article288.txt,86,2
Article289.txt,93,3
Article290.txt,87,4
Article291.txt,61,2
Article292.txt,91,2
Article293.txt,87,1
Article294.txt,93,3
Article295.txt,61,1
Article296.txt,78,1
Article297.txt,88,5
Article3.txt,98,2
Article308.txt,94,1
Article320.txt,83,2
Article333.txt,89,2
Article336.txt,70,3
Article349.txt,66,1
Article352.txt,84,1
Article359.txt,73,3
Article363.txt,72,1
Article365.txt,78,1
Article366.txt,83,2
Article368.txt,90,2
Article370.txt,96,2
Article371.txt,56,2
Article373.txt,101,1
Article376.txt,64,1
Article4.txt,60,3
Article400.txt,85,1
Article404.txt,87,2
Article406.txt,99,1
Article411.txt,95,4
Article414.txt,88,1
Article418.txt,77,3
Article419.txt,87,3
Article420.txt,95,1
Article421.txt,101,4
Article422.txt,90,2
Article423.txt,93,4
Article424.txt,86,4
Article425.txt,83,2
Article426.txt,45,2
Article427.txt,57,2
Article428.txt,87,3
Article429.txt,49,1
Article43.txt,90,1
Article430.txt,96,2
Article431.txt,92,1
Article432.txt,91,4
Article433.txt,86,3
Article434.txt,95,2
Article435.txt,88,2
Article436.txt,74,3
Article437.txt,68,2
Article460.txt,71,2
Article467.txt,87,3
Article469.txt,90,4
Article471.txt,71,2
Article479.txt,89,2
Article484.txt,63,1
Article488.txt,63,2
Article492.txt,63,1
Article495.txt,96,2
Article5.txt,110,3
Article500.txt,76,1
Article501.txt,78,2
Article508.txt,88,1
Article509.txt,104,1
Article510.txt,95,1
Article55.txt,68,3
Article58.txt,97,2
Article59.txt,81,1
Article6.txt,97,3
Article66.txt,89,4
Article69.txt,95,1
Article7.txt,107,1
Article73.txt,90,1
Article8.txt,77,3
Article80.txt,88,1
Article81.txt,96,1
Article82.txt,82,1
Article83.txt,88,3
Article84.txt,79,2
Article85.txt,103,1
Article86.txt,94,1
Article88.txt,94,2
Article89.txt,91,1
Article9.txt,63,2
Article90.txt,93,1
Article91.txt,81,1
Article92.txt,91,1
Article95.txt,85,1
Article96.txt,100,1
Article99.txt,89,1
